ITEM_ID,PRICE,CATEGORY_L1,VEGETARIAN,PESKETARIAN,GLUTEN_FREE,DAIRY_FREE,PRODUCT_DESCRIPTION,RESTAURANT_ID
Egg & Cheese (Bagel/Biscuit/Croissant),5,no,yes,yes,no,no,"american, breakfast",The Grind
"Ham, Egg, & Cheese (Bagel/Biscuit/Croissant)",5,no,no,no,no,no,"american, breakfast",The Grind
"Bacon, Egg, & Cheese (Bagel/Biscuit/Croissant)",5,no,no,no,no,no,"american, breakfast",The Grind
"Sausage, Egg, & Cheese (Bagel/Biscuit/Croissant)",5,no,no,no,no,no,"american, breakfast",The Grind
"Turkey Sausage, Egg, & Cheese (Bagel/Biscuit/Croissant)",5,no,no,no,no,no,"american, breakfast",The Grind
Bagel with Butter,5,no,yes,yes,no,no,"american, breakfast",The Grind
Bagel with Cream Cheese,5,no,yes,yes,no,no,"american, breakfast",The Grind
Croissant,5,no,yes,yes,no,no,"american, breakfast",The Grind
Muffin,5,on,yes,yes,no,no,"american, breakfast",The Grind
Donut,5,no,yes,yes,no,no,"american, breakfast",The Grind
Cookie,5,no,yes,yes,no,no,"american, dessert",The Grind
Lehigh Brownie,5,no,yes,yes,no,no,"american, breakfast",The Grind
Steel-Cut Oatmeal,5,no,yes,yes,no,no,"american, breakfast",The Grind
California Turkey Club,5,no,no,no,no,no,sandwiches/wraps,The Grind
Garlic Chicken Ceaser Ciabatta,5,no,no,no,no,no,sandwiches/wraps,The Grind
Tomatoc Mozzarella Focaccia,5,no,yes,yes,no,no,sandwiches/wraps,The Grind
Pollo Rustica Panini,5,no,no,no,no,no,sandwiches/wraps,The Grind 
Artisan Italian Baguette,5,no,no,no,no,no,sandwiches/wraps,The Grind
Ham & Swiss Pretzel Roll,5,no,no,no,no,no,sandwiches/wraps,The Grind
Tuna BYO Poke,5,no,no,yes,yes,yes,"asian, japanese-american",Global Cafe
Salmon BYO Poke,5,no,no,yes,yes,yes,"asian, japanese-american",Global Cafe
Shrimp BYO Poke,5,no,no,yes,yes,yes,"asian, japanese-american",Global Cafe
Krab Stick BYO Poke,5,no,no,yes,yes,no,"asian, japanese-american",Global Cafe
Spicy Krab BYO Poke,5,no,no,yes,yes,no,"asian, japanese-american",Global Cafe
Inari Tofu BYO Poke,5,yes,yes,yes,yes,yes,"asian, japanese-american",Global Cafe
Cream Cheese Rangoon,5,no,yes,yes,no,no,"asian, japanese-american",Global Cafe
Chicken Egg Rolls,5,no,no,no,no,yes,"asian, japanese-american",Global Cafe
Ginger Chicken Potstickers,5,no,no,no,no,no,"asian, japanese-american",Global Cafe
BBQ Pork Bao,5,no,no,no,no,no,"asian, japanese-american",Global Cafe
Chocolate Bao,5,no,yes,yes,no,no,"asian, japanese-american",Global Cafe
Teriyaki Chicken Bao,5,no,no,no,no,no,"asian, japanese-american",Global Cafe
Whole Wheat Vegetable Bao,5,yes,yes,yes,no,no,"asian, japanese-american",Global Cafe
Edamame,5,yes,yes,yes,yes,yes,"asian, japanese-american",Global Cafe
Seaweed Salad,5,yes,yes,yes,yes,yes,"asian, japanese-american",Global Cafe
Spring Roll,5,no,no,yes,no,no,"asian, japanese-american",Global Cafe
Squid Salad,5,no,no,yes,no,no,"asian, japanese-american",Global Cafe
Maui Bento (Sushi),5,no,no,yes,no,yes,"asian, japanese-american",Global Cafe
Nagano Sushi Special,5,no,no,yes,no,yes,"asian, japanese-american",Global Cafe
Special Cooked Sushi Combo,5,no,no,yes,no,no,"asian, japanese-american",Global Cafe
Spicy Sushi Combo,5,no,no,yes,no,no,"asian, japanese-american",Global Cafe
Sushi Lover Sushi Combo,5,no,no,yes,no,no,"asian, japanese-american",Global Cafe
Blazing Dragon Poke Bowl,5,no,no,yes,no,no,"asian, japanese-american",Global Cafe
Classica Hawaiian Poke Bowl,5,no,no,yes,no,yes,"asian, japanese-american",Global Cafe
Crunch Inari Tofu Bowl,5,yes,yes,yes,no,yes,"asian, japanese-american",Global Cafe
Crunchy Shrimp Bowl,5,no,no,yes,no,no,"asian, japanese-american",Global Cafe
Krispy Krab Bowl,5,no,no,yes,no,no,"asian, japanese-american",Global Cafe
Mango Salmon Poke Bowl,5,no,no,yes,no,yes,"asian, japanese-american",Global Cafe
